Date,Surface,Winner,Loser,B365W,B365L
14/01/2019,Hard,Vickery S.,Bonaventure Y.,3,1.4
14/01/2019,Hard,Boulter K.,Makarova E.,2.1,1.72
14/01/2019,Hard,Peterson R.,Cirstea S.,2.5,1.53
14/01/2019,Hard,Collins D.,Goerges J.,4.33,1.22
14/01/2019,Hard,Sabalenka A.,Kalinskaya A.,1.2,4.5
14/01/2019,Hard,Garcia C.,Ponchet J.,1.2,4.5
14/01/2019,Hard,Sharma A.,Hon P.,2.1,1.72
14/01/2019,Hard,Vekic D.,Mladenovic K.,1.3,3.5
14/01/2019,Hard,Vondrousova M.,Rodina E.,1.5,2.62
14/01/2019,Hard,Martic P.,Watson H.,1.44,2.75
14/01/2019,Hard,Sharapova M.,Dart H.,1.3,3.5
14/01/2019,Hard,Hives Z.,Mattek-Sands B.,1.72,2.1
14/01/2019,Hard,Tsurenko L.,Alexandrova E.,1.5,2.62
14/01/2019,Hard,Birrell K.,Badosa Gibert P.,2.2,1.66
14/01/2019,Hard,Haddad Maia B.,Pera B.,1.57,2.37
14/01/2019,Hard,Stephens S.,Townsend T.,1.16,5
14/01/2019,Hard,Pavlyuchenkova A.,Puig M.,1.66,2.2
14/01/2019,Hard,Anisimova A.,Niculescu M.,1.72,2.1
14/01/2019,Hard,Babos T.,Jabeur O.,2.62,1.5
14/01/2019,Hard,Sakkari M.,Ostapenko J.,1.61,2.3
14/01/2019,Hard,Kontaveit A.,Sorribes Tormo S.,1.12,6
14/01/2019,Hard,Kerber A.,Hercog P.,1.07,9
14/01/2019,Hard,Bertens K.,Riske A.,1.33,3.4
14/01/2019,Hard,Putintseva Y.,Strycova B.,2,1.8
14/01/2019,Hard,Wang Yaf.,Perez E.,1.33,3.4
14/01/2019,Hard,Bencic B.,Siniakova K.,1.72,2
14/01/2019,Hard,Barty A.,Kumkhum L.,1.12,6
14/01/2019,Hard,Wozniacki C.,Van Uytvanck A.,1.16,5
14/01/2019,Hard,Sasnovich A.,Flipkens K.,1.36,3.2
14/01/2019,Hard,Kvitova P.,Rybarikova M.,1.12,6
15/01/2019,Hard,Krunic A.,Diyas Z.,2.75,1.44
15/01/2019,Hard,Konta J.,Tomljanovic A.,1.8,2
15/01/2019,Hard,Mertens E.,Schmiedlova A.,1.16,5
15/01/2019,Hard,Pliskova Ka.,Muchova K.,1.28,3.75
15/01/2019,Hard,Potapova A.,Parmentier P.,1.5,2.62
15/01/2019,Hard,Wang Q.,Ferro F.,1.08,8
15/01/2019,Hard,Keys M.,Aiava D.,1.2,4.5
15/01/2019,Hard,Williams S.,Maria T.,1.06,10
15/01/2019,Hard,Sevastova A.,Barthel M.,1.16,5
15/01/2019,Hard,Bouchard E.,Peng S.,1.72,2.1
15/01/2019,Hard,Muguruza G.,Zheng S.,1.2,4.5
15/01/2019,Hard,Zidansek T.,Gavrilova D.,2.75,1.44
15/01/2019,Hard,Brengle M.,Doi M.,1.9,1.9
15/01/2019,Hard,Andreescu B.,Osuigwe W.,1.14,5.5
15/01/2019,Hard,Bacsinszky T.,Kasatkina D.,2.37,1.57
15/01/2019,Hard,Vikhlyantseva N.,Lepchenko V.,2.1,1.72
15/01/2019,Hard,Siegemund L.,Azarenka V.,5,1.16
15/01/2019,Hard,Giorgi C.,Jakupovic D.,1.2,4.5
15/01/2019,Hard,Suarez Navarro C.,Burel C.,1.08,8
15/01/2019,Hard,Hsieh S.W.,Voegele S.,1.28,3.75
15/01/2019,Hard,Williams V.,Buzarnescu M.,1.44,2.75
15/01/2019,Hard,Kuzmova V.,Kozlova K.,1.36,3.2
15/01/2019,Hard,Cornet A.,Arruabarrena L.,1.22,4.33
15/01/2019,Hard,Pliskova Kr.,Blinkova A.,2.1,1.72
15/01/2019,Hard,Svitolina E.,Golubic V.,1.1,7
15/01/2019,Hard,Gasparyan M.,Zhu L.,1.57,2.37
15/01/2019,Hard,Swiatek I.,Bogdan A.,1.4,3
15/01/2019,Hard,Yastremska D.,Stosur S.,1.33,3.4
15/01/2019,Hard,Kenin S.,Kudermetova V.,1.3,3.5
15/01/2019,Hard,Zhang S.,Cibulkova D.,2.75,1.44
15/01/2019,Hard,Halep S.,Kanepi K.,1.3,3.5
15/01/2019,Hard,Osaka N.,Linette M.,1.14,5.5
16/01/2019,Hard,Martic P.,Vondrousova M.,1.5,2.62
16/01/2019,Hard,Garcia C.,Hives Z.,1.2,4.5
16/01/2019,Hard,Sasnovich A.,Kontaveit A.,1.66,2.2
16/01/2019,Hard,Pavlyuchenkova A.,Bertens K.,3,1.4
16/01/2019,Hard,Stephens S.,Babos T.,1.16,5
16/01/2019,Hard,Barty A.,Wang Yaf.,1.1,7
16/01/2019,Hard,Sakkari M.,Sharma A.,1.3,3.5
16/01/2019,Hard,Anisimova A.,Tsurenko L.,2.1,1.72
16/01/2019,Hard,Collins D.,Vickery S.,1.25,4
16/01/2019,Hard,Birrell K.,Vekic D.,4.5,1.2
16/01/2019,Hard,Wozniacki C.,Larsson J.,1.1,7
16/01/2019,Hard,Sabalenka A.,Boulter K.,1.11,6.5
16/01/2019,Hard,Bencic B.,Putintseva Y.,1.8,2
